NAME,DATE,rain,temp
"PUERTO CASADO, PA",2016/7/19,,13.3
"PUERTO CASADO, PA",2016/7/20,,14.1
"PUERTO CASADO, PA",2016/7/21,,14.6
"PUERTO CASADO, PA",2016/7/22,,16.2
"PUERTO CASADO, PA",2016/7/23,,19.4
"PUERTO CASADO, PA",2016/7/24,,22.7
"PUERTO CASADO, PA",2016/7/25,,24.6
"PUERTO CASADO, PA",2016/7/26,,23.6
"PUERTO CASADO, PA",2016/7/27,,18.1
"PUERTO CASADO, PA",2016/7/28,,15
"PUERTO CASADO, PA",2016/7/29,,18.2
"PUERTO CASADO, PA",2016/7/30,,25.3
"PUERTO CASADO, PA",2016/7/31,,26.6
"PUERTO CASADO, PA",2016/8/1,,23.4
"PUERTO CASADO, PA",2016/8/2,,22.6
"PUERTO CASADO, PA",2016/8/5,,25.2
"PUERTO CASADO, PA",2016/8/6,,26.2
"PUERTO CASADO, PA",2016/8/7,,21.9
"PUERTO CASADO, PA",2016/8/8,6.1,17.4
"PUERTO CASADO, PA",2016/8/9,37.6,17.1
"PUERTO CASADO, PA",2016/8/10,0,16.6
"PUERTO CASADO, PA",2016/8/11,,16.7
"PUERTO CASADO, PA",2016/8/12,,19.7
"PUERTO CASADO, PA",2016/8/13,,23.2
"PUERTO CASADO, PA",2016/8/14,,25.6
"PUERTO CASADO, PA",2016/8/15,,27.8
"PUERTO CASADO, PA",2016/8/16,,26.9
"PUERTO CASADO, PA",2016/8/17,,28.9
"PUERTO CASADO, PA",2016/8/18,,26.4
"PUERTO CASADO, PA",2016/8/19,3.3,25.2
"PUERTO CASADO, PA",2016/8/20,0.8,25.2
"PUERTO CASADO, PA",2016/8/21,0,17.3
"PUERTO CASADO, PA",2016/8/22,,14.4
"PUERTO CASADO, PA",2016/8/23,,16
"PUERTO CASADO, PA",2016/8/24,,18.6
"PUERTO CASADO, PA",2016/8/25,,22.7
"PUERTO CASADO, PA",2016/8/27,,29.3
"PUERTO CASADO, PA",2016/8/29,,16.3
"PUERTO CASADO, PA",2016/8/30,2.3,15.7
"PUERTO CASADO, PA",2016/8/31,0,16.6
"PUERTO CASADO, PA",2016/9/1,,19.9
"PUERTO CASADO, PA",2016/9/2,,21.8
"PUERTO CASADO, PA",2016/9/4,10.4,10.9
"PUERTO CASADO, PA",2016/9/5,6.4,11.9
"PUERTO CASADO, PA",2016/9/7,,12.9
"PUERTO CASADO, PA",2016/9/8,,16.7
"PUERTO CASADO, PA",2016/9/9,,18.2
"PUERTO CASADO, PA",2016/9/10,,22.2
"PUERTO CASADO, PA",2016/9/11,,25.6
"PUERTO CASADO, PA",2016/9/12,,27.7
"PUERTO CASADO, PA",2016/9/13,,29.7
"PUERTO CASADO, PA",2016/9/14,,21.5
"PUERTO CASADO, PA",2016/9/15,,20
"PUERTO CASADO, PA",2016/9/16,,22.7
"PUERTO CASADO, PA",2016/9/17,,26.3
"PUERTO CASADO, PA",2016/9/18,,29.6
"PUERTO CASADO, PA",2016/9/19,,25.2
"PUERTO CASADO, PA",2016/9/20,23.1,21.2
"PUERTO CASADO, PA",2016/9/21,0,21.1
"PUERTO CASADO, PA",2016/9/22,,25.8
"PUERTO CASADO, PA",2016/9/23,,25.1
"PUERTO CASADO, PA",2016/9/24,,23.7
"PUERTO CASADO, PA",2016/9/25,,21.4
"PUERTO CASADO, PA",2016/9/26,,22.7
"PUERTO CASADO, PA",2016/9/27,,26
"PUERTO CASADO, PA",2016/9/28,,28.8
"PUERTO CASADO, PA",2016/9/29,,29.4
"PUERTO CASADO, PA",2016/9/30,,26.3
"PUERTO CASADO, PA",2016/10/1,9.9,24.4
"PUERTO CASADO, PA",2016/10/2,0,28.1
"PUERTO CASADO, PA",2016/10/3,18,22.8
"PUERTO CASADO, PA",2016/10/4,26.9,22.2
"PUERTO CASADO, PA",2016/10/5,37.6,23.5
"PUERTO CASADO, PA",2016/10/6,0,21.3
"PUERTO CASADO, PA",2016/10/7,,21.6
"PUERTO CASADO, PA",2016/10/8,,24.4
"PUERTO CASADO, PA",2016/10/9,,25
"PUERTO CASADO, PA",2016/10/10,,27.6
"PUERTO CASADO, PA",2016/10/11,,29.9
"PUERTO CASADO, PA",2016/10/12,,30.5
"PUERTO CASADO, PA",2016/10/13,,28.5
"PUERTO CASADO, PA",2016/10/14,15.5,27.8
"PUERTO CASADO, PA",2016/10/15,0,29.5
"PUERTO CASADO, PA",2016/10/16,,33.5
"PUERTO CASADO, PA",2016/10/17,,33.5
"PUERTO CASADO, PA",2016/10/18,,33.5
"PUERTO CASADO, PA",2016/10/19,,33.9
"PUERTO CASADO, PA",2016/10/20,,24.4
"PUERTO CASADO, PA",2016/10/21,,24.3
"PUERTO CASADO, PA",2016/10/22,,26
"PUERTO CASADO, PA",2016/10/23,,29.3
"PUERTO CASADO, PA",2016/10/24,,29.7
"PUERTO CASADO, PA",2016/10/25,,31.5
"PUERTO CASADO, PA",2016/10/26,48.5,23.3
"PUERTO CASADO, PA",2016/10/27,2.8,21.8
"PUERTO CASADO, PA",2016/10/28,0,19.6
"PUERTO CASADO, PA",2016/10/29,,19.9
"PUERTO CASADO, PA",2016/10/30,,25
"PUERTO CASADO, PA",2016/10/31,,29.7
"PUERTO CASADO, PA",2016/11/1,,31.8
"PUERTO CASADO, PA",2016/11/4,,23.1
"PUERTO CASADO, PA",2016/11/5,,24.7
"PUERTO CASADO, PA",2016/11/6,,29.3
"PUERTO CASADO, PA",2016/11/7,,30.8
"PUERTO CASADO, PA",2016/11/8,32.3,27.3
"PUERTO CASADO, PA",2016/11/9,0,27.7
"PUERTO CASADO, PA",2016/11/10,25.4,29.1
"PUERTO CASADO, PA",2016/11/11,4.3,26.7
"PUERTO CASADO, PA",2016/11/12,15.2,24
"PUERTO CASADO, PA",2016/11/13,0,26.9
"PUERTO CASADO, PA",2016/11/14,,27.5
"PUERTO CASADO, PA",2016/11/15,8.6,26.5
"PUERTO CASADO, PA",2016/11/16,0.3,27.3
"PUERTO CASADO, PA",2016/11/17,0,26.6
"PUERTO CASADO, PA",2016/11/18,,22
"PUERTO CASADO, PA",2016/11/19,,21.3
"PUERTO CASADO, PA",2016/11/20,,25.3
"PUERTO CASADO, PA",2016/11/21,,27.3
"PUERTO CASADO, PA",2016/11/22,,26.1
"PUERTO CASADO, PA",2016/11/23,,25.8
"PUERTO CASADO, PA",2016/11/24,,28.6
"PUERTO CASADO, PA",2016/11/25,,31.8
"PUERTO CASADO, PA",2016/11/26,6.6,28.9
"PUERTO CASADO, PA",2016/11/27,0,30.2
"PUERTO CASADO, PA",2016/11/28,60.5,25.4
"PUERTO CASADO, PA",2016/11/29,14.5,25.9
"PUERTO CASADO, PA",2016/11/30,0,27.1
"PUERTO CASADO, PA",2016/12/1,,28.5
"PUERTO CASADO, PA",2016/12/2,,28.9
"PUERTO CASADO, PA",2016/12/3,38.9,26.2
"PUERTO CASADO, PA",2016/12/4,0,27.8
"PUERTO CASADO, PA",2016/12/5,,28.8
"PUERTO CASADO, PA",2016/12/6,,32.2
"PUERTO CASADO, PA",2016/12/7,7.1,27.8
"PUERTO CASADO, PA",2016/12/8,0.5,26.7
"PUERTO CASADO, PA",2016/12/9,63.8,24.8
"PUERTO CASADO, PA",2016/12/10,31.5,25.2
"PUERTO CASADO, PA",2016/12/11,0.5,25.5
"PUERTO CASADO, PA",2016/12/12,0,26.8
"PUERTO CASADO, PA",2016/12/13,,28.2
"PUERTO CASADO, PA",2016/12/14,51.6,26
"PUERTO CASADO, PA",2016/12/15,0,24.6
"PUERTO CASADO, PA",2016/12/16,,26.5
"PUERTO CASADO, PA",2016/12/17,,27.8
"PUERTO CASADO, PA",2016/12/18,,28.8
"PUERTO CASADO, PA",2016/12/19,,26.7
"PUERTO CASADO, PA",2016/12/20,3.3,26.3
"PUERTO CASADO, PA",2016/12/22,,27
"PUERTO CASADO, PA",2016/12/23,,27.3
"PUERTO CASADO, PA",2016/12/24,,28.7
"PUERTO CASADO, PA",2016/12/25,,28.8
"PUERTO CASADO, PA",2016/12/26,,30.5
"PUERTO CASADO, PA",2016/12/27,,32.3
"PUERTO CASADO, PA",2016/12/28,2,29.4
"PUERTO CASADO, PA",2016/12/29,0,29.2
"PUERTO CASADO, PA",2016/12/30,5.3,30.1
"PUERTO CASADO, PA",2016/12/31,0,29.8
"PUERTO CASADO, PA",2017/1/1,,31.7
"PUERTO CASADO, PA",2017/1/2,,30.8
"PUERTO CASADO, PA",2017/1/4,,29.8
"PUERTO CASADO, PA",2017/1/5,,31.3
"PUERTO CASADO, PA",2017/1/6,,28.2
"PUERTO CASADO, PA",2017/1/7,4.3,28.3
"PUERTO CASADO, PA",2017/1/8,0,31.3
"PUERTO CASADO, PA",2017/1/9,,33.2
"PUERTO CASADO, PA",2017/1/10,,32.7
"PUERTO CASADO, PA",2017/1/11,,31.3
"PUERTO CASADO, PA",2017/1/12,,29.7
"PUERTO CASADO, PA",2017/1/15,,31.8
"PUERTO CASADO, PA",2017/1/16,,32.8
"PUERTO CASADO, PA",2017/1/19,,31.2
"PUERTO CASADO, PA",2017/1/20,,31.4
"PUERTO CASADO, PA",2017/1/22,,29.5
"PUERTO CASADO, PA",2017/1/24,,28.8
"PUERTO CASADO, PA",2017/1/25,8.6,27.2
"PUERTO CASADO, PA",2017/1/28,,26
"PUERTO CASADO, PA",2017/1/29,,29.3
"PUERTO CASADO, PA",2017/1/30,,29.4
"PUERTO CASADO, PA",2017/1/31,7.1,26.2
"PUERTO CASADO, PA",2017/2/1,8.4,29
"PUERTO CASADO, PA",2017/2/2,10.2,27.3
"PUERTO CASADO, PA",2017/2/3,0,30.2
"PUERTO CASADO, PA",2017/2/4,,30.9
"PUERTO CASADO, PA",2017/2/7,62.2,27.6
"PUERTO CASADO, PA",2017/2/8,0,30.6
"PUERTO CASADO, PA",2017/2/9,,31.3
"PUERTO CASADO, PA",2017/2/10,,29.9
"PUERTO CASADO, PA",2017/2/11,48.5,26.9
"PUERTO CASADO, PA",2017/2/12,0,28.1
"PUERTO CASADO, PA",2017/2/13,,27.8
"PUERTO CASADO, PA",2017/2/14,,28.1
"PUERTO CASADO, PA",2017/2/15,,30.4
"PUERTO CASADO, PA",2017/2/16,,30.2
"PUERTO CASADO, PA",2017/2/17,,31.2
"PUERTO CASADO, PA",2017/2/18,,30.4
"PUERTO CASADO, PA",2017/2/19,,30.1
"PUERTO CASADO, PA",2017/2/20,0.3,29.4
"PUERTO CASADO, PA",2017/2/21,0,34.9
"PUERTO CASADO, PA",2017/2/22,0.5,30.6
"PUERTO CASADO, PA",2017/2/23,0,30.7
"PUERTO CASADO, PA",2017/2/24,,28.9
"PUERTO CASADO, PA",2017/2/25,,28.2
"PUERTO CASADO, PA",2017/2/26,,29
"PUERTO CASADO, PA",2017/2/27,,30.1
"PUERTO CASADO, PA",2017/2/28,,30.8
"PUERTO CASADO, PA",2017/3/1,31.2,28.1
"PUERTO CASADO, PA",2017/3/2,0,30.8
"PUERTO CASADO, PA",2017/3/3,,31.3
"PUERTO CASADO, PA",2017/3/4,,30.4
"PUERTO CASADO, PA",2017/3/5,1,26.4
"PUERTO CASADO, PA",2017/3/6,12.7,27.8
"PUERTO CASADO, PA",2017/3/7,0,31
"PUERTO CASADO, PA",2017/3/8,0.3,30.8
"PUERTO CASADO, PA",2017/3/9,0,31.6
"PUERTO CASADO, PA",2017/3/10,,32.2
"PUERTO CASADO, PA",2017/3/11,,32.3
"PUERTO CASADO, PA",2017/3/12,,33.2
"PUERTO CASADO, PA",2017/3/13,0.3,26.6
"PUERTO CASADO, PA",2017/3/14,0,28.8
"PUERTO CASADO, PA",2017/3/15,,31.3
"PUERTO CASADO, PA",2017/3/16,,25.5
"PUERTO CASADO, PA",2017/3/17,,22.1
"PUERTO CASADO, PA",2017/3/18,,23.3
"PUERTO CASADO, PA",2017/3/19,,24.4
"PUERTO CASADO, PA",2017/3/20,,27.7
"PUERTO CASADO, PA",2017/3/21,,28.6
"PUERTO CASADO, PA",2017/3/22,,27.7
"PUERTO CASADO, PA",2017/3/23,,26.2
"PUERTO CASADO, PA",2017/3/24,,27.6
"PUERTO CASADO, PA",2017/3/25,,28.8
"PUERTO CASADO, PA",2017/3/26,,27.2
"PUERTO CASADO, PA",2017/3/27,,25.9
"PUERTO CASADO, PA",2017/3/28,,29.1
"PUERTO CASADO, PA",2017/3/29,,28.3
"PUERTO CASADO, PA",2017/3/30,,29.1
"PUERTO CASADO, PA",2017/3/31,,29.3
"PUERTO CASADO, PA",2017/4/1,,28.9
"PUERTO CASADO, PA",2017/4/2,,30.1
"PUERTO CASADO, PA",2017/4/3,,25.9
"PUERTO CASADO, PA",2017/4/4,,26.7
"PUERTO CASADO, PA",2017/4/5,,27.2
"PUERTO CASADO, PA",2017/4/6,,24.8
"PUERTO CASADO, PA",2017/4/7,,27.5
"PUERTO CASADO, PA",2017/4/8,,30.2
"PUERTO CASADO, PA",2017/4/9,,28.9
"PUERTO CASADO, PA",2017/4/10,,24.1
"PUERTO CASADO, PA",2017/4/11,,23.9
"PUERTO CASADO, PA",2017/4/12,,25.4
"PUERTO CASADO, PA",2017/4/13,,24.6
"PUERTO CASADO, PA",2017/4/14,,27.4
"PUERTO CASADO, PA",2017/4/15,,29.6
"PUERTO CASADO, PA",2017/4/16,,26.3
"PUERTO CASADO, PA",2017/4/17,,26.2
"PUERTO CASADO, PA",2017/4/18,,25.9
"PUERTO CASADO, PA",2017/4/19,,24.7
"PUERTO CASADO, PA",2017/4/20,137.9,21.1
"PUERTO CASADO, PA",2017/4/21,0.5,23.6
"PUERTO CASADO, PA",2017/4/22,0,24
"PUERTO CASADO, PA",2017/4/23,,24.2
"PUERTO CASADO, PA",2017/4/24,,25.7
"PUERTO CASADO, PA",2017/4/25,,27.8
"PUERTO CASADO, PA",2017/4/26,,23.5
"PUERTO CASADO, PA",2017/4/27,,17.4
"PUERTO CASADO, PA",2017/4/28,,17.8
"PUERTO CASADO, PA",2017/4/29,,18.8
"PUERTO CASADO, PA",2017/4/30,,21.9
"PUERTO CASADO, PA",2017/5/1,,22.8
"PUERTO CASADO, PA",2017/5/2,,25
"PUERTO CASADO, PA",2017/5/3,,28.1
"PUERTO CASADO, PA",2017/5/4,57.7,21
"PUERTO CASADO, PA",2017/5/5,0,22.3
"PUERTO CASADO, PA",2017/5/6,,23.1
"PUERTO CASADO, PA",2017/5/7,,28.2
"PUERTO CASADO, PA",2017/5/8,,28.3
"PUERTO CASADO, PA",2017/5/9,30.5,23.1
"PUERTO CASADO, PA",2017/5/10,1,23.4
"PUERTO CASADO, PA",2017/5/11,1,25.6
"PUERTO CASADO, PA",2017/5/12,0,27.1
"PUERTO CASADO, PA",2017/5/13,,26.4
"PUERTO CASADO, PA",2017/5/14,1.3,21.3
"PUERTO CASADO, PA",2017/5/15,3.3,20.2
"PUERTO CASADO, PA",2017/5/16,4.3,20.9
"PUERTO CASADO, PA",2017/5/17,0,22.7
"PUERTO CASADO, PA",2017/5/18,0.3,26.3
"PUERTO CASADO, PA",2017/5/19,0,25.3
"PUERTO CASADO, PA",2017/5/20,9.4,20.7
"PUERTO CASADO, PA",2017/5/21,26.7,19.5
"PUERTO CASADO, PA",2017/5/22,0,21.9
"PUERTO CASADO, PA",2017/5/23,,25.3
"PUERTO CASADO, PA",2017/5/24,,26.8
"PUERTO CASADO, PA",2017/5/25,,28.6
"PUERTO CASADO, PA",2017/5/26,,28.5
"PUERTO CASADO, PA",2017/5/27,2.3,20.2
"PUERTO CASADO, PA",2017/5/28,0,18.4
"PUERTO CASADO, PA",2017/5/29,0,19.2
"PUERTO CASADO, PA",2017/5/30,0,19.2
"PUERTO CASADO, PA",2017/5/31,5.1,17.1
"PUERTO CASADO, PA",2017/6/1,0,16
"PUERTO CASADO, PA",2017/6/2,,16
"PUERTO CASADO, PA",2017/6/3,,20.6
"PUERTO CASADO, PA",2017/6/4,,26.8
"PUERTO CASADO, PA",2017/6/5,,24.3
"PUERTO CASADO, PA",2017/6/6,4.3,21.7
"PUERTO CASADO, PA",2017/6/7,3.8,22.6
"PUERTO CASADO, PA",2017/6/8,6.4,22.9
"PUERTO CASADO, PA",2017/6/9,7.4,15.7
"PUERTO CASADO, PA",2017/6/10,0,14.6
"PUERTO CASADO, PA",2017/6/11,,16.6
"PUERTO CASADO, PA",2017/6/12,,19.9
"PUERTO CASADO, PA",2017/6/13,,23.4
"PUERTO CASADO, PA",2017/6/14,,24.9
"PUERTO CASADO, PA",2017/6/15,,26.4
"PUERTO CASADO, PA",2017/6/16,,26.9
"PUERTO CASADO, PA",2017/6/17,,26.6
"PUERTO CASADO, PA",2017/6/18,,25.2
"PUERTO CASADO, PA",2017/6/19,5.1,14.1
"PUERTO CASADO, PA",2017/6/20,0,13.7
"PUERTO CASADO, PA",2017/6/21,,18.2
"PUERTO CASADO, PA",2017/6/22,,24.8
"PUERTO CASADO, PA",2017/6/23,,27
"PUERTO CASADO, PA",2017/6/24,,25.9
"PUERTO CASADO, PA",2017/6/25,,26.1
"PUERTO CASADO, PA",2017/6/26,,26.8
"PUERTO CASADO, PA",2017/6/27,,25.2
"PUERTO CASADO, PA",2017/6/28,,25.7
"PUERTO CASADO, PA",2017/6/29,,24.3
"PUERTO CASADO, PA",2017/6/30,,22.8
"PUERTO CASADO, PA",2017/7/9,0.8,23.6
"PUERTO CASADO, PA",2017/7/10,0,25.2
"PUERTO CASADO, PA",2017/7/11,,26
"PUERTO CASADO, PA",2017/7/12,,24.9
"PUERTO CASADO, PA",2017/7/13,,25
"PUERTO CASADO, PA",2017/7/14,,26.5
"PUERTO CASADO, PA",2017/7/15,,25.7
"PUERTO CASADO, PA",2017/7/16,,21.1
"PUERTO CASADO, PA",2017/7/17,,9.6
"PUERTO CASADO, PA",2017/7/18,,8.4
"PUERTO CASADO, PA",2017/7/19,,11.9
"PUERTO CASADO, PA",2017/7/20,,13.8
"PUERTO CASADO, PA",2017/7/21,,19.1
"PUERTO CASADO, PA",2017/7/22,,22.1
"PUERTO CASADO, PA",2017/7/23,,26.1
"PUERTO CASADO, PA",2017/7/24,,26.2
"PUERTO CASADO, PA",2017/7/25,,27.3
"PUERTO CASADO, PA",2017/7/26,,25.9
"PUERTO CASADO, PA",2017/7/27,,24.1
"PUERTO CASADO, PA",2017/7/28,,25.1
"PUERTO CASADO, PA",2017/7/29,,25.7
"PUERTO CASADO, PA",2017/7/30,,25.1
"PUERTO CASADO, PA",2017/7/31,,28.1
"PUERTO CASADO, PA",2017/8/1,,27.2
"PUERTO CASADO, PA",2017/8/2,,20.7
"PUERTO CASADO, PA",2017/8/3,,17.6
"PUERTO CASADO, PA",2017/8/4,,17.4
"PUERTO CASADO, PA",2017/8/5,,21.6
"PUERTO CASADO, PA",2017/8/6,,26.2
"PUERTO CASADO, PA",2017/8/7,,28.1
"PUERTO CASADO, PA",2017/8/8,,29.8
"PUERTO CASADO, PA",2017/8/9,,28.8
"PUERTO CASADO, PA",2017/8/10,,30.9
"PUERTO CASADO, PA",2017/8/11,,31.6
"PUERTO CASADO, PA",2017/8/12,,31.3
"PUERTO CASADO, PA",2017/8/13,8.4,20.3
"PUERTO CASADO, PA",2017/8/14,4.3,16.5
"PUERTO CASADO, PA",2017/8/15,18.5,19.4
"PUERTO CASADO, PA",2017/8/17,17.5,22.7
"PUERTO CASADO, PA",2017/8/18,0,23.3
"PUERTO CASADO, PA",2017/8/19,,28
"PUERTO CASADO, PA",2017/8/20,,23.7
"PUERTO CASADO, PA",2017/8/22,,21
"PUERTO CASADO, PA",2017/8/23,,28.5
"PUERTO CASADO, PA",2017/8/24,,30.9
"PUERTO CASADO, PA",2017/8/25,,30.5
"PUERTO CASADO, PA",2017/8/26,,30.1
"PUERTO CASADO, PA",2017/8/27,,29.7
"PUERTO CASADO, PA",2017/8/28,,31.1
"PUERTO CASADO, PA",2017/8/29,,31.3
"PUERTO CASADO, PA",2017/8/30,,24.3
"PUERTO CASADO, PA",2017/8/31,,21.1
"PUERTO CASADO, PA",2017/9/1,,29.5
"PUERTO CASADO, PA",2017/9/2,,31.1
"PUERTO CASADO, PA",2017/9/3,,32.7
"PUERTO CASADO, PA",2017/9/4,,31.8
"PUERTO CASADO, PA",2017/9/5,,22.8
"PUERTO CASADO, PA",2017/9/6,,22.9
"PUERTO CASADO, PA",2017/9/7,,28.9
"PUERTO CASADO, PA",2017/9/8,,30.3
"PUERTO CASADO, PA",2017/9/9,,31.9
"PUERTO CASADO, PA",2017/9/10,,32.5
"PUERTO CASADO, PA",2017/9/11,,25.2
"PUERTO CASADO, PA",2017/9/12,,26.1
"PUERTO CASADO, PA",2017/9/13,,28.6
"PUERTO CASADO, PA",2017/9/14,,30.7
"PUERTO CASADO, PA",2017/9/15,4.3,20.2
"PUERTO CASADO, PA",2017/9/16,38.1,18.1
"PUERTO CASADO, PA",2017/9/17,0,21.2
"PUERTO CASADO, PA",2017/9/18,,24.2
"PUERTO CASADO, PA",2017/9/19,,29.1
"PUERTO CASADO, PA",2017/9/20,,32.2
"PUERTO CASADO, PA",2017/9/21,,32.4
"PUERTO CASADO, PA",2017/9/22,,24.5
"PUERTO CASADO, PA",2017/9/23,,22.6
"PUERTO CASADO, PA",2017/9/24,4.3,22.6
"PUERTO CASADO, PA",2017/9/25,1.3,26.4
"PUERTO CASADO, PA",2017/9/26,4.3,28
"PUERTO CASADO, PA",2017/9/27,0,30.9
"PUERTO CASADO, PA",2017/9/28,,26.6
"PUERTO CASADO, PA",2017/9/29,,23.8
"PUERTO CASADO, PA",2017/9/30,78.2,25.4
"PUERTO CASADO, PA",2017/10/1,0,26.9
"PUERTO CASADO, PA",2017/10/2,6.1,21.9
"PUERTO CASADO, PA",2017/10/3,0,22.6
"PUERTO CASADO, PA",2017/10/4,,23.8
"PUERTO CASADO, PA",2017/10/5,,25.3
"PUERTO CASADO, PA",2017/10/6,,31.5
"PUERTO CASADO, PA",2017/10/7,18,29.8
"PUERTO CASADO, PA",2017/10/8,0,29.9
"PUERTO CASADO, PA",2017/10/9,,31.2
"PUERTO CASADO, PA",2017/10/10,,31.6
"PUERTO CASADO, PA",2017/10/11,,31.9
"PUERTO CASADO, PA",2017/10/12,,31.1
"PUERTO CASADO, PA",2017/10/13,,23.5
"PUERTO CASADO, PA",2017/10/14,,17.8
"PUERTO CASADO, PA",2017/10/15,,22.4
"PUERTO CASADO, PA",2017/10/16,,27.8
"PUERTO CASADO, PA",2017/10/17,,31.7
"PUERTO CASADO, PA",2017/10/18,,32.8
"PUERTO CASADO, PA",2017/10/19,,32.1
"PUERTO CASADO, PA",2017/10/20,3.3,26.1
"PUERTO CASADO, PA",2017/10/21,0,29.4
"PUERTO CASADO, PA",2017/10/22,2.8,25.1
"PUERTO CASADO, PA",2017/10/23,0,23.3
"PUERTO CASADO, PA",2017/10/24,,27.6
"PUERTO CASADO, PA",2017/10/25,,30.9
"PUERTO CASADO, PA",2017/10/26,,29.9
"PUERTO CASADO, PA",2017/10/27,5.1,26.4
"PUERTO CASADO, PA",2017/10/28,0,27.2
"PUERTO CASADO, PA",2017/10/29,2.8,28.2
"PUERTO CASADO, PA",2017/10/30,5.1,27.3
"PUERTO CASADO, PA",2017/10/31,23.1,25.1
"PUERTO CASADO, PA",2017/11/1,0,28.6
"PUERTO CASADO, PA",2017/11/2,,28.8
"PUERTO CASADO, PA",2017/11/3,,31.5
"PUERTO CASADO, PA",2017/11/4,,28.4
"PUERTO CASADO, PA",2017/11/5,,23
"PUERTO CASADO, PA",2017/11/6,,26.4
"PUERTO CASADO, PA",2017/11/7,,27.8
"PUERTO CASADO, PA",2017/11/8,59.9,26.7
"PUERTO CASADO, PA",2017/11/9,2,28.3
"PUERTO CASADO, PA",2017/11/10,0,27
"PUERTO CASADO, PA",2017/11/11,,24.3
"PUERTO CASADO, PA",2017/11/12,,25.4
"PUERTO CASADO, PA",2017/11/13,,26.6
"PUERTO CASADO, PA",2017/11/14,,28.6
"PUERTO CASADO, PA",2017/11/15,,31.6
"PUERTO CASADO, PA",2017/11/16,,30
"PUERTO CASADO, PA",2017/11/17,25.1,26.6
"PUERTO CASADO, PA",2017/11/18,0,26.2
"PUERTO CASADO, PA",2017/11/19,2.8,24.9
"PUERTO CASADO, PA",2017/11/20,0,26.7
"PUERTO CASADO, PA",2017/11/21,,29.3
"PUERTO CASADO, PA",2017/11/22,2.3,26.1
"PUERTO CASADO, PA",2017/11/23,0,25.7
"PUERTO CASADO, PA",2017/11/24,,28.7
"PUERTO CASADO, PA",2017/11/25,,27.7
"PUERTO CASADO, PA",2017/11/26,,22.9
"PUERTO CASADO, PA",2017/11/27,,24.3
"PUERTO CASADO, PA",2017/11/28,4.1,24.3
"PUERTO CASADO, PA",2017/11/29,0,28
"PUERTO CASADO, PA",2017/11/30,20.3,25.6
"PUERTO CASADO, PA",2017/12/1,55.1,26
"PUERTO CASADO, PA",2017/12/2,0,28.7
"PUERTO CASADO, PA",2017/12/3,,29.4
"PUERTO CASADO, PA",2017/12/4,19.3,26.1
"PUERTO CASADO, PA",2017/12/5,0.3,27.4
"PUERTO CASADO, PA",2017/12/6,13.2,27.4
"PUERTO CASADO, PA",2017/12/7,0,28.4
"PUERTO CASADO, PA",2017/12/8,6.6,28.9
"PUERTO CASADO, PA",2017/12/9,0,29.3
"PUERTO CASADO, PA",2017/12/10,6.4,27.3
"PUERTO CASADO, PA",2017/12/11,0,30.2
"PUERTO CASADO, PA",2017/12/12,,29.7
"PUERTO CASADO, PA",2017/12/13,,30.1
"PUERTO CASADO, PA",2017/12/14,,30.9
"PUERTO CASADO, PA",2017/12/15,,31.2
"PUERTO CASADO, PA",2017/12/16,,31.8
"PUERTO CASADO, PA",2017/12/17,,32
"PUERTO CASADO, PA",2017/12/18,,29.8
"PUERTO CASADO, PA",2017/12/19,,30.2
"PUERTO CASADO, PA",2017/12/20,,28.3
"PUERTO CASADO, PA",2017/12/21,,25.9
"PUERTO CASADO, PA",2017/12/22,,27.3
"PUERTO CASADO, PA",2017/12/23,14.7,26.7
"PUERTO CASADO, PA",2017/12/24,35.6,25.8
"PUERTO CASADO, PA",2017/12/25,4.1,25.4
"PUERTO CASADO, PA",2017/12/26,19.1,25.2
"PUERTO CASADO, PA",2017/12/27,8.1,27.7
"PUERTO CASADO, PA",2017/12/28,0,28.3
"PUERTO CASADO, PA",2017/12/29,1.3,25.9
"PUERTO CASADO, PA",2017/12/30,0,29.2
"PUERTO CASADO, PA",2017/12/31,19.3,30.6
"PUERTO CASADO, PA",2018/1/1,1,30.4
"PUERTO CASADO, PA",2018/1/2,12.7,25.7
"PUERTO CASADO, PA",2018/1/3,42.9,27.2
"PUERTO CASADO, PA",2018/1/4,0,28.8
"PUERTO CASADO, PA",2018/1/5,,29.6
"PUERTO CASADO, PA",2018/1/6,,29.2
"PUERTO CASADO, PA",2018/1/7,16.3,27.9
"PUERTO CASADO, PA",2018/1/8,0,28.6
"PUERTO CASADO, PA",2018/1/9,,28.9
"PUERTO CASADO, PA",2018/1/10,3.6,26.7
"PUERTO CASADO, PA",2018/1/12,4.1,27.9
"PUERTO CASADO, PA",2018/1/13,0,28.8
"PUERTO CASADO, PA",2018/1/14,,27.9
"PUERTO CASADO, PA",2018/1/15,12.4,26.9
"PUERTO CASADO, PA",2018/1/16,2,28.6
"PUERTO CASADO, PA",2018/1/17,0,28.1
"PUERTO CASADO, PA",2018/1/18,20.1,27.2
"PUERTO CASADO, PA",2018/1/19,0.3,26.4
"PUERTO CASADO, PA",2018/1/20,11.2,27.8
"PUERTO CASADO, PA",2018/1/21,0,28.4
"PUERTO CASADO, PA",2018/1/22,8.1,30.2
"PUERTO CASADO, PA",2018/1/23,0,31.1
"PUERTO CASADO, PA",2018/1/24,,30.9
